,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
thenceforth,2,0,0,0,0,1
relate,9,0,1,29,1,0
physiology,1,1,0,0,1,0
unless,5,22,3,35,44,0
supernatural,4,0,0,6,1,0
irksome,6,1,0,1,0,0
intolerable,3,2,1,1,2,0
examine,4,5,0,20,8,1
recourse,1,0,0,5,3,0
anatomy,1,1,0,0,0,0
observe,5,1,1,21,44,0
decay,4,3,0,2,9,1
corruption,3,2,1,1,22,0
precautions,1,1,3,21,1,0
impressed,8,2,1,10,3,0
horrors,6,8,2,3,2,0
trembled,11,7,4,25,0,0
superstition,1,8,0,1,1,0
darkness,16,24,7,61,15,0
effect,9,28,5,71,39,1
churchyard,1,30,0,1,0,0
receptacle,1,1,0,1,0,0
worm,4,0,0,3,0,0
forced,9,8,3,47,8,0
vaults,1,2,0,0,0,0
charnel,2,0,0,0,0,0
houses,4,12,1,18,25,0
insupportable,3,0,0,0,0,0
delicacy,1,1,0,13,2,0
fine,6,21,18,89,15,0
degraded,3,0,0,0,5,0
blooming,4,0,0,2,2,0
cheek,6,2,6,9,1,0
brain,1,56,2,43,0,0
examining,3,7,3,18,1,0
analysing,1,0,0,0,0,0
minutiae,1,0,0,0,0,0
causation,1,0,0,0,0,0
exemplified,1,0,0,0,0,0
brilliant,1,5,0,40,2,0
simple,7,17,0,66,53,2
dizzy,2,5,0,1,0,0
immensity,1,0,0,1,1,0
illustrated,1,0,0,0,3,0
surprised,13,14,8,39,4,0
reserved,5,1,0,13,4,0
vision,3,0,0,12,38,0
madman,3,13,1,15,4,0
shine,3,5,3,7,2,0
affirm,1,0,0,3,19,0
miracle,1,2,0,14,1,0
produced,12,8,0,39,3,3
stages,1,1,1,2,11,2
incredible,2,2,3,8,0,0
succeeded,8,6,6,39,4,0
nay,6,30,5,42,29,4
bestowing,3,0,0,3,0,0
lifeless,9,0,0,7,0,0
matter,4,55,14,114,75,2
painful,6,10,0,37,6,0
summit,8,3,4,15,2,0
gratifying,1,0,0,3,1,0
consummation,4,0,0,2,2,0
overwhelming,4,1,0,6,1,0
progressively,1,0,0,1,0,0
obliterated,3,3,0,0,0,0
wisest,1,1,0,2,6,0
grasp,9,4,5,15,5,0
magic,2,0,0,13,3,0
exhibit,3,1,0,3,2,0
accomplished,2,3,0,16,13,1
arabian,13,1,0,19,0,0
buried,1,11,16,39,3,0
aided,2,1,0,9,1,0
glimmering,1,0,0,1,0,0
seemingly,4,22,2,0,2,0
patiently,1,3,1,13,0,0
lead,7,13,5,39,22,0
unguarded,2,0,0,0,1,0
infallible,1,0,0,5,4,0
precepts,1,0,0,0,3,0
believes,4,3,0,4,9,0
aspires,1,0,0,2,0,1
hesitated,4,3,2,28,1,0
employ,2,0,0,4,7,0
reception,3,1,0,10,0,0
intricacies,1,0,0,0,0,0
fibres,1,0,1,1,0,0
muscles,3,0,2,4,1,0
inconceivable,2,0,0,3,6,0
difficulty,11,22,3,32,73,0
doubted,3,3,1,11,4,0
attempt,10,8,1,44,30,0
simpler,2,0,0,0,3,0
organization,1,0,0,2,5,0
exalted,1,1,0,4,2,0
complex,1,0,0,1,11,0
materials,7,2,0,5,7,1
hardly,27,26,13,21,88,0
adequate,2,0,0,2,3,1
arduous,1,0,0,0,0,0
prepared,8,24,1,71,7,0
reverses,1,0,0,2,0,0
operations,4,2,0,5,2,0
incessantly,2,0,0,7,0,0
baffled,2,3,0,1,0,0
imperfect,2,1,0,3,16,0
takes,1,7,1,19,35,1
mechanics,1,0,0,0,0,0
encouraged,2,2,2,5,5,0
magnitude,1,0,0,2,1,0
complexity,1,0,0,0,5,0
plan,12,11,5,55,13,2
argument,2,2,3,3,106,0
impracticability,1,0,0,0,1,0
minuteness,1,0,0,2,0,0
parts,3,4,1,19,48,0
hindrance,1,1,0,1,3,0
speed,7,12,8,27,4,1
contrary,4,1,1,107,18,4
proportionably,3,0,0,0,0,0
successfully,1,1,0,2,1,0
arranging,6,2,1,9,1,0
onwards,1,1,0,5,0,0
hurricane,1,0,0,1,0,0
ideal,1,0,0,2,99,0
bounds,6,1,0,7,1,1
break,4,22,6,30,9,0
pour,1,0,0,7,3,0
creator,20,0,0,0,9,0
source,5,1,1,21,8,0
owe,3,2,2,32,3,0
claim,8,5,3,17,10,0
completely,2,3,2,52,8,4
process,2,3,2,3,34,2
supported,5,1,0,18,3,0
unremitting,3,0,0,1,0,0
grown,1,12,4,13,10,0
pale,6,40,7,195,3,0
confinement,1,0,0,8,0,0
clung,4,8,4,10,0,0
realise,2,8,0,0,0,1
moon,21,11,9,16,8,0
unrelaxed,1,0,0,0,0,0
breathless,3,2,0,14,0,0
toil,7,2,0,7,10,1
dabbled,1,0,0,0,0,0
unhallowed,4,2,0,1,0,0
damps,2,0,0,1,0,0
grave,7,34,5,42,6,1
tortured,4,1,1,1,1,0
clay,1,3,1,1,0,0
tremble,6,7,0,21,0,1
swim,1,0,0,9,3,0
remembrance,10,3,0,17,3,0
resistless,1,1,0,0,0,0
frantic,1,3,0,2,0,0
forward,14,30,22,47,14,1
passing,8,15,1,65,28,0
trance,1,16,0,0,0,0
renewed,6,4,0,15,0,0
acuteness,1,0,0,2,0,1
unnatural,3,2,1,6,12,0
stimulus,1,0,0,1,2,0
ceasing,1,1,1,1,0,0
operate,1,5,0,0,1,0
habits,4,0,0,9,21,0
collected,10,0,1,20,0,0
bones,1,8,20,4,1,0
disturbed,8,10,2,29,0,0
profane,1,0,0,0,2,1
tremendous,7,0,2,6,1,0
cell,2,1,0,51,0,0
top,3,22,22,32,1,0
separated,3,3,1,39,3,0
apartments,1,0,0,49,0,0
gallery,1,0,4,22,0,0
staircase,1,0,0,79,0,0
kept,4,58,42,81,9,1
workshop,1,0,0,1,0,2
filthy,5,1,1,1,0,0
eyeballs,1,0,0,2,0,0
starting,1,12,2,17,7,0
sockets,2,0,0,4,0,0
dissecting,1,0,0,0,0,0
slaughter,2,0,1,2,0,0
furnished,1,1,0,22,2,0
loathing,5,2,0,0,0,0
conclusion,5,11,1,10,27,1
fields,9,1,0,5,2,0
plentiful,4,0,0,1,2,0
harvest,1,1,0,0,1,0
vines,4,0,0,0,0,0
luxuriant,2,0,0,3,0,0
vintage,2,0,0,0,0,0
charms,1,0,0,6,5,0
neglect,2,2,1,4,9,0
caused,10,3,0,53,6,0
absent,6,2,1,16,0,0
disquieted,1,0,0,1,0,0
remembered,13,12,11,27,4,0
regularly,3,0,0,3,1,0
pardon,4,12,6,84,1,0
interruption,1,1,0,4,0,0
correspondence,2,1,0,3,0,0
proof,5,13,0,49,20,0
loathsome,5,1,0,2,0,0
irresistible,3,1,0,10,2,0
procrastinate,1,0,0,0,0,0
swallowed,5,1,2,15,1,0
habit,2,23,1,17,32,0
completed,2,5,2,14,10,0
unjust,2,0,0,11,145,0
ascribed,2,0,0,0,10,0
vice,8,8,0,4,42,0
faultiness,1,0,0,0,0,0
convinced,9,5,2,34,15,0
justified,2,4,1,6,8,0
conceiving,1,0,0,0,3,0
altogether,1,16,4,19,10,2
free,23,37,9,87,36,11
blame,1,2,5,14,11,0
perfection,1,1,0,7,25,0
preserve,5,2,1,14,13,2
transitory,4,0,0,1,0,0
disturb,6,9,1,23,1,0
exception,2,1,1,23,12,0
tendency,1,0,0,1,12,1
weaken,1,1,0,0,2,0
affections,8,0,0,7,6,0
taste,5,2,6,37,25,0
alloy,1,0,0,1,2,0
possibly,3,13,2,44,14,1
mix,1,0,0,1,0,0
unlawful,1,0,0,0,5,0
allowed,20,3,6,48,48,1
whatsoever,1,1,0,1,0,0
interfere,3,3,0,13,3,0
greece,2,1,0,12,8,0
enslaved,1,0,0,0,11,1
c,1,4,0,34,8,3
sar,1,0,0,30,0,0
spared,5,3,1,9,0,0
empires,3,0,0,0,3,0
mexico,1,0,0,0,0,0
peru,1,0,0,2,0,0
moralizing,1,0,0,0,1,0
remind,3,1,1,15,8,0
reproach,2,2,0,24,2,3
inquiring,1,0,0,12,1,0
blossom,1,1,0,0,0,0
expanding,1,0,0,0,0,2
leaves,11,4,7,30,8,1
sights,6,1,0,3,9,0
supreme,2,0,0,15,6,2
engrossed,1,1,0,4,0,0
withered,1,1,0,4,1,0
close,15,69,33,63,8,0
plainly,4,2,8,14,1,0
checked,3,2,0,4,0,0
doomed,6,1,1,7,0,1
slavery,4,1,0,0,16,1
mines,1,0,0,4,0,0
unwholesome,2,0,0,0,0,0
trade,2,4,1,9,17,6
artist,1,0,0,14,22,0
oppressed,7,0,0,4,1,3
nervous,5,12,1,28,2,0
fall,10,18,10,79,28,3
leaf,1,0,1,7,0,0
startled,2,11,4,5,0,0
shunned,3,0,0,0,0,0
guilty,11,0,3,53,17,1
crime,16,5,1,82,8,1
energy,1,12,0,16,5,0
sustained,5,0,0,13,3,0
amusement,6,0,0,7,6,0
drive,4,15,0,26,3,0
incipient,1,0,0,0,0,0
complete,8,19,6,41,12,3
dreary,3,3,1,0,0,0
november,1,14,0,1,0,0
accomplishment,1,0,1,3,0,0
amounted,2,0,0,9,0,0
agony,26,8,2,21,2,0
infuse,1,0,0,0,0,0
spark,3,1,0,0,1,0
thing,11,97,45,184,121,0
rain,16,4,2,8,2,0
pattered,1,0,1,0,0,0
dismally,1,0,0,0,0,0
panes,2,3,0,4,0,0
candle,1,5,4,6,3,0
burnt,3,2,1,16,2,0
glimmer,2,1,2,2,0,0
dull,2,3,3,32,2,0
yellow,4,7,8,22,0,0
breathed,4,1,1,14,0,0
convulsive,1,0,0,10,0,0
agitated,7,1,1,32,0,0
emotions,8,1,0,13,3,0
delineate,1,0,0,0,2,0
wretch,25,3,0,23,0,0
infinite,3,7,1,11,6,0
proportion,4,1,2,9,28,12
selected,3,1,0,12,5,0
skin,2,6,4,18,2,1
arteries,1,0,0,0,0,0
beneath,11,3,1,95,10,3
flowing,1,1,0,5,3,0
pearly,1,0,0,5,0,0
whiteness,1,3,0,1,2,0
luxuriances,1,0,0,0,0,0
horrid,5,17,6,5,3,0
watery,2,0,0,0,0,0
colour,3,17,15,0,14,0
dun,1,1,0,0,0,0
shrivelled,1,0,0,0,0,0
complexion,2,1,0,22,1,0
straight,1,22,20,19,6,0
changeable,1,0,0,1,0,0
infusing,1,0,0,1,0,0
inanimate,4,0,0,6,1,0
exceeded,2,1,0,0,2,0
moderation,2,0,0,3,9,0
finished,8,20,2,39,8,0
horror,45,28,5,20,3,0
disgust,5,1,3,4,0,0
unable,22,4,0,53,31,0
created,12,1,0,15,8,7
rushed,10,23,0,50,1,0
traversing,1,0,0,1,0,0
compose,3,0,0,4,4,0
lassitude,1,0,0,0,0,0
tumult,4,1,0,10,1,0
clothes,5,14,6,25,4,0
forgetfulness,3,1,0,7,5,0
slept,8,34,4,29,0,0
wildest,3,1,0,2,0,0
bloom,3,6,0,2,2,0
kiss,1,18,1,13,2,0
livid,3,2,1,15,0,0
hue,1,2,0,11,2,0
held,8,73,18,118,25,0
corpse,10,5,1,53,1,0
shroud,1,0,0,4,0,0
enveloped,3,1,1,7,0,0
worms,2,0,0,0,0,0
crawling,1,0,5,0,0,0
folds,2,2,0,5,1,0
flannel,1,0,0,0,0,0
started,6,26,8,47,3,0
dew,1,0,0,2,0,1
forehead,1,34,0,60,0,0
chattered,2,0,1,2,0,0
limb,3,0,0,2,2,0
convulsed,1,2,0,5,0,0
dim,3,13,0,13,0,0
window,10,116,9,101,0,0
shutters,2,6,0,4,0,0
monster,31,23,1,3,16,0
curtain,1,0,0,39,0,0
jaws,1,4,1,3,0,0
muttered,1,0,2,37,0,0
inarticulate,2,0,0,4,1,0
sounds,16,9,2,10,19,0
grin,3,1,1,1,0,0
wrinkled,3,3,0,1,1,0
spoken,3,24,7,57,23,0
detain,1,1,0,10,1,0
escaped,7,8,1,61,12,0
downstairs,1,7,3,16,0,0
refuge,8,3,0,12,1,0
courtyard,1,10,0,18,0,0
belonging,4,2,0,22,2,0
inhabited,8,0,0,19,1,0
listening,5,2,3,41,3,0
catching,1,6,0,1,1,0
announce,2,1,0,19,1,0
approach,10,6,1,39,14,0
demoniacal,3,0,0,0,0,0
miserably,4,1,0,1,1,0
mortal,7,8,4,23,14,0
mummy,2,0,0,0,0,0
hideous,11,2,0,9,0,0
unfinished,2,0,0,1,2,0
ugly,4,1,3,8,3,0
joints,2,0,0,0,0,0
dante,1,0,0,7,5,0
wretchedly,1,0,0,1,0,0
pulse,3,2,1,9,3,0
palpitation,1,0,0,0,0,0
artery,1,0,0,0,0,0
sank,19,19,7,13,0,0
languor,3,0,1,0,0,0
space,3,7,2,22,14,0
hell,10,20,0,7,4,0
dismal,1,0,0,3,0,0
wet,6,4,2,7,2,0
dawned,4,1,0,5,1,0
sleepless,2,3,0,5,0,0
aching,1,1,0,2,0,0
church,1,16,2,12,18,1
indicated,1,0,1,22,6,0
sixth,1,0,1,4,17,0
porter,1,1,0,35,0,0
gates,5,2,1,17,1,0
court,10,9,1,70,6,0
asylum,4,13,0,8,1,0
issued,1,0,2,10,0,0
pacing,1,0,0,8,1,0
impelled,2,0,0,5,2,0
hurry,2,10,11,19,3,0
drenched,1,1,2,2,0,0
poured,5,5,1,28,1,0
comfortless,1,0,0,0,0,0
bodily,4,0,4,4,41,0
load,3,1,7,5,0,0
weighed,6,2,2,7,2,0
palpitated,1,0,0,1,0,0
hurried,7,12,1,12,1,0
daring,1,1,2,12,2,0
lonely,2,9,4,1,0,0
doth,2,0,0,0,1,0
dread,7,21,0,17,2,0
turns,2,6,1,8,11,0
knows,6,30,6,87,40,0
fiend,35,2,1,1,0,0
coleridge,1,0,0,0,3,0
continuing,2,0,0,8,4,0
opposite,7,10,3,66,67,0
diligences,1,0,0,1,0,0
carriages,1,2,1,26,0,0
stopped,3,43,17,123,1,0
minutes,8,39,2,138,1,0
coach,1,12,2,18,0,0
coming,3,117,16,85,18,1
standing,3,10,16,63,11,1
seeing,8,36,6,108,32,0
sprung,2,0,1,8,2,1
glad,5,36,9,23,6,0
alighting,1,0,0,3,0,0
equal,5,9,1,31,30,2
recollection,10,2,2,27,8,0
grasped,4,2,2,16,0,0
serene,7,0,0,5,0,0
cordial,1,0,1,5,1,0
walked,16,16,9,39,1,0
college,3,0,2,4,0,0
permitted,5,3,1,20,10,0
comprised,1,0,0,0,0,0
incredulous,2,0,0,7,3,0
unwearied,1,0,0,0,2,0
dutch,1,0,0,1,0,0
schoolmaster,1,0,0,1,1,0
vicar,1,0,0,0,1,0
wakefield,1,0,0,0,0,0
florins,1,0,0,1,0,0
greek,2,1,0,52,113,0
eat,4,27,8,48,8,0
heartily,1,2,6,1,1,0
dislike,2,0,0,12,5,0
undertake,4,2,0,11,2,0
tell,11,195,61,473,101,0
seldom,6,1,0,15,6,0
stopping,1,2,2,16,0,0
gazing,4,1,0,17,1,0
guessed,2,3,1,37,1,0
right,11,99,72,241,199,3
lately,3,10,1,11,3,0
sincerely,8,1,0,5,0,0
employments,1,0,0,0,7,0
excessively,1,0,0,2,0,0
allude,3,0,0,10,1,0
pace,2,5,6,11,1,2
reflected,15,2,0,33,10,0
shiver,1,2,9,1,0,0
dreaded,5,8,0,9,1,0
entreating,2,0,0,3,0,0
bottom,4,3,14,29,1,0
stairs,1,8,3,47,0,0
darted,5,0,0,14,0,0
lock,1,24,3,21,0,0
shivering,1,3,2,3,0,0
forcibly,3,3,0,4,1,0
spectre,3,0,0,11,0,4
stand,2,15,23,26,17,2
waiting,2,29,10,84,3,0
fearfully,2,1,0,7,0,0
empty,2,27,10,38,4,0
bedroom,1,5,0,28,0,0
clapped,2,0,3,4,0,0
ascended,4,4,0,23,4,0
servant,8,4,3,121,19,0
breakfast,5,26,7,59,0,0
contain,1,4,1,12,7,1
flesh,4,14,1,6,7,1
tingle,1,3,0,0,0,0
excess,9,1,0,4,20,0
sensitiveness,2,0,0,0,0,0
jumped,1,16,6,8,1,0
chairs,1,3,0,10,1,0
laughed,1,15,5,13,5,0
aloud,6,1,10,24,2,0
arrival,8,11,4,56,2,0
loud,6,11,13,32,2,1
unrestrained,2,0,0,1,0,0
heartless,2,1,0,3,0,0
frightened,3,14,7,9,1,0
astonished,3,3,0,49,2,0
cried,15,33,103,340,0,0
laugh,4,28,7,43,12,0
putting,4,21,4,30,6,0
glide,1,0,0,3,0,0
struggled,5,4,1,8,2,0
furiously,1,1,2,5,0,0
anticipated,1,0,0,18,4,0
witness,3,3,2,37,9,0
recover,2,3,5,11,5,0
senses,8,4,2,37,14,1
knowing,4,16,1,38,24,0
unfitness,1,0,1,0,0,0
concealing,2,0,1,3,0,0
extent,4,2,1,14,11,1
disorder,2,1,0,7,10,1
attentive,2,0,0,5,0,0
recovery,3,1,0,2,1,0
harm,1,19,3,11,33,0
kindest,1,0,1,2,0,0
action,5,22,3,27,44,12
surely,12,22,3,28,48,0
unbounded,3,0,0,4,0,0
raved,1,2,0,0,0,0
wanderings,3,0,2,0,0,0
pertinacity,1,0,0,1,0,0
recurred,3,0,0,6,0,0
origin,4,1,0,9,35,0
frequent,3,4,1,4,1,0
relapses,1,1,0,0,0,0
observing,3,2,4,12,3,0
objects,12,0,0,20,48,0
buds,1,0,0,0,0,0
shooting,1,0,3,8,3,0
trees,20,24,45,70,4,0
shaded,2,0,0,5,0,0
contributed,2,0,2,3,1,0
convalescence,3,0,0,0,0,0
sentiments,4,1,0,10,10,0
revive,4,0,1,10,2,0
bosom,9,5,3,23,3,0
cheerful,12,15,1,11,0,0
attacked,2,5,3,19,2,0
consumed,4,1,0,5,0,1
sick,3,13,13,9,9,0
repay,2,0,0,7,2,0
remorse,15,1,0,24,1,0
forgive,4,23,2,33,4,0
discompose,1,0,0,0,0,0
get,3,172,80,101,54,1
dared,19,11,8,19,0,0
mention,4,4,3,32,21,1
agitates,2,0,0,0,0,0
handwriting,2,0,0,2,0,0
deserving,3,0,0,2,2,1
lying,3,24,15,17,16,0
reassure,2,0,0,5,0,0
pen,1,4,3,40,2,0
line,3,16,15,36,13,1
persuasions,2,0,0,0,0,0
encountering,2,0,0,1,0,0
inconveniences,1,0,0,0,0,0
regretted,1,0,1,9,0,0
devolved,1,0,0,0,0,0
mercenary,1,0,0,1,2,0
guess,3,19,5,23,6,0
minister,1,1,0,74,3,0
writes,1,1,0,4,1,0
getting,1,38,7,21,15,0
confirm,2,0,0,7,0,0
intelligence,3,1,1,27,25,0
dearly,3,1,0,2,0,0
vigorous,1,1,0,6,0,0
asks,1,5,0,7,17,0
cloud,9,11,7,28,0,0
ernest,13,0,0,0,0,0
sixteen,1,0,0,9,0,0
activity,3,0,0,9,0,2
elder,2,0,0,15,12,0
returns,2,2,0,4,7,0
military,1,0,0,11,33,0
career,3,1,0,19,2,0
odious,4,0,1,5,0,0
fetter,1,0,0,0,0,0
climbing,1,1,3,2,0,0
rowing,2,1,2,1,0,0
idler,1,0,0,0,0,0
alteration,5,0,1,3,0,0
growth,2,2,1,5,20,0
clad,1,5,0,4,0,0
placid,6,1,0,0,0,0
hearts,4,16,4,20,8,0
amuse,2,1,0,10,0,0
rewarded,2,0,0,3,3,0
exertions,5,2,0,3,0,0
household,1,4,0,8,3,0
justine,55,0,0,0,0,0
moritz,7,0,0,0,0,0
probably,5,9,2,52,43,0
madame,4,1,0,767,0,0
widow,2,1,0,10,0,0
perversity,1,0,0,1,0,0
treated,1,9,2,15,12,0
aunt,9,0,0,2,0,0
twelve,1,6,3,66,2,0
republican,1,0,0,1,0,0
institutions,1,0,0,3,14,0
prevail,2,2,0,0,17,0
monarchies,1,0,0,0,0,1
hence,1,1,1,6,29,4
classes,1,2,0,2,44,21
inhabitants,11,0,0,10,10,0
lower,6,14,9,27,43,2
orders,1,2,11,94,7,1
despised,2,0,3,6,4,0
include,1,0,0,2,11,0
ignorance,4,5,0,12,45,0
recollect,4,1,0,50,1,0
remarked,2,5,2,24,8,0
humour,2,5,1,0,5,0
dissipate,6,0,0,1,0,0
reason,13,28,6,120,200,2
ariosto,1,0,0,1,0,0
angelica,1,0,0,1,0,0
frank,1,2,0,4,0,0
hearted,1,5,3,7,0,0
induced,7,0,0,10,9,0
superior,10,2,0,23,20,1
fully,3,12,0,35,6,1
repaid,2,0,0,6,1,0
grateful,3,12,1,21,1,0
professions,1,0,0,3,1,0
protectress,1,0,0,0,0,0
gay,7,4,1,10,0,0
respects,2,1,1,8,12,1
inconsiderate,1,0,0,1,0,0
gesture,2,8,0,29,3,0
model,1,0,0,7,10,2
excellence,2,0,0,1,26,0
imitate,3,2,0,4,32,0
phraseology,1,0,0,2,2,0
reminds,2,0,0,4,1,0
trials,1,0,1,6,4,0
childless,1,0,0,0,0,0
conscience,6,4,3,36,3,2
troubled,7,5,1,3,1,0
deaths,3,0,0,6,1,0
favourites,1,0,1,0,1,0
judgement,1,0,0,0,2,0
chastise,1,0,0,0,1,0
partiality,2,0,0,0,0,0
roman,1,1,0,43,16,1
catholic,1,0,0,0,5,1
confessor,2,0,0,7,0,0
confirmed,7,1,0,14,4,0
repentant,1,0,0,0,0,0
wept,16,3,0,9,2,0
altered,6,0,0,13,5,0
softness,1,5,0,0,6,0
winning,1,4,0,4,1,0
vivacity,3,2,0,2,0,0
gaiety,3,5,0,0,1,0
vacillating,1,0,0,1,0,0
repentance,2,0,0,4,0,0
begged,1,0,3,21,1,0
unkindness,1,0,0,0,0,0
oftener,1,0,0,1,4,0
accused,7,1,2,26,4,0
fretting,1,1,0,0,0,0
irritability,1,0,0,2,1,0
clever,1,17,3,12,8,0
extremely,4,1,1,14,4,0
darling,5,11,0,4,0,0
william,25,0,0,1,0,0
tall,3,14,19,21,2,0
laughing,2,1,2,43,7,0
eyelashes,1,1,0,2,0,0
curling,2,0,0,0,0,0
dimples,1,0,0,0,0,0
rosy,1,4,0,1,0,0
wives,1,2,0,1,21,3
louisa,1,0,0,0,0,0
biron,1,0,0,0,0,0
gossip,1,0,0,2,0,0
miss,1,60,3,2,1,0
mansfield,1,0,0,0,0,0
congratulatory,2,0,0,0,0,0
visits,4,3,1,12,0,0
approaching,3,2,4,39,1,1
john,1,76,84,4,4,0
melbourne,1,0,0,0,0,0
esq,1,0,0,0,0,0
manon,1,0,0,0,0,0
duvillard,1,0,0,0,0,0
rich,3,3,4,126,63,0
banker,1,0,1,100,0,0
autumn,5,6,1,3,0,0
schoolfellow,1,0,0,1,0,0
louis,1,0,2,102,0,0
manoir,2,0,0,0,0,0
reported,1,10,0,8,2,0
lively,8,3,2,8,3,0
frenchwoman,1,0,0,0,0,0
tavernier,1,0,0,0,0,0
older,3,0,1,5,8,0
admired,3,0,0,10,4,0
everybody,3,4,2,24,12,0
conclude,1,0,0,1,3,0
entreat,6,2,0,31,1,0
relieve,9,3,1,0,2,0
fatigued,2,0,0,9,0,0
introduce,1,0,0,20,9,5
underwent,1,1,0,5,1,0
usage,1,0,2,0,0,0
wounds,3,12,1,13,2,0
antipathy,1,0,0,3,0,0
instrument,8,0,1,12,15,1
apparatus,3,0,0,0,2,0
previously,3,1,0,19,3,1
cares,5,1,0,6,9,0
avail,3,3,0,5,2,0
inflicted,3,0,0,2,2,0
torture,12,5,4,16,1,0
praised,1,1,0,4,6,0
sciences,1,0,0,7,53,0
disliked,1,0,0,5,1,0
guessing,1,0,1,2,0,0
meant,1,23,15,22,23,2
please,2,21,16,96,20,0
carefully,3,19,2,58,3,0
used,3,44,9,61,26,0
cruel,3,5,3,14,5,0
writhed,2,1,1,0,0,0
pain,19,40,5,24,64,1
discerning,1,0,0,1,2,0
declined,6,0,0,3,2,0
alleging,2,0,0,2,0,0
excuse,1,6,5,82,6,0
total,1,0,1,6,0,3
thanked,4,10,1,10,0,0
mixture,4,3,0,11,6,0
impress,2,1,0,3,5,0
docile,2,0,0,2,0,0
harsh,7,4,0,8,4,0
blunt,2,1,2,1,0,0
encomiums,1,0,0,0,1,0
approbation,2,0,0,12,0,0
n,1,1,59,30,0,0
outstript,1,0,0,0,0,0
ay,4,7,0,1,0,0
stare,1,3,2,1,0,0
nevertheless,1,1,0,27,9,1
youngster,1,0,0,0,0,0
firmly,3,3,0,11,4,0
gospel,1,0,0,1,1,2
pulled,1,17,14,9,0,0
modest,1,1,0,7,1,0
diffident,1,0,0,0,0,0
wears,1,0,0,2,2,0
eulogy,1,0,0,0,0,0
happily,2,2,0,16,3,0
annoying,1,1,0,5,0,0
sympathised,5,0,0,0,0,0
literary,1,0,0,2,4,2
differed,2,0,0,1,0,0
design,6,1,1,13,11,0
oriental,1,1,1,9,1,0
field,6,5,3,12,0,0
inglorious,1,0,0,0,0,0
toward,3,1,0,25,0,0
east,2,32,22,25,4,2
affording,3,1,0,2,1,0
persian,2,0,0,0,3,0
arabic,2,0,0,9,0,0
sanskrit,1,0,0,0,0,0
hated,6,3,2,5,8,0
relief,4,13,2,9,0,0
pupil,1,1,0,3,6,0
instruction,3,2,1,1,6,0
orientalists,1,0,0,1,0,0
critical,1,0,0,1,1,4
dialects,1,0,0,0,0,0
contemplate,4,2,0,3,7,0
temporary,2,0,0,7,2,0
meaning,3,10,4,51,72,2
soothing,4,2,0,0,7,0
writings,1,0,0,0,27,2
consist,1,0,0,0,4,0
roses,1,3,0,7,1,0
frowns,1,0,0,1,0,0
consumes,1,0,0,0,0,0
manly,1,2,0,6,4,0
heroical,1,0,0,0,0,0
poetry,2,0,0,5,80,0
rome,1,1,0,122,4,1
roads,2,2,0,5,0,0
impassable,1,0,0,3,0,0
retarded,1,0,0,1,0,0
delay,8,16,4,39,0,0
unwillingness,1,0,0,1,2,0
uncommonly,1,1,0,1,0,0
compensated,2,0,0,0,0,0
dilatoriness,1,0,0,0,0,0
daily,8,5,2,11,5,4
proposed,1,1,0,36,6,1
pedestrian,1,0,0,1,0,0
environs,5,0,0,3,0,0
bid,2,2,2,7,2,0
personal,2,12,0,26,8,7
acceded,1,0,0,1,0,0
proposition,2,0,0,11,5,0
ramble,2,0,0,1,0,0
perambulations,1,0,0,0,0,0
additional,4,2,0,5,4,0
salubrious,1,0,0,0,0,0
intercourse,6,0,0,5,6,1
unsocial,1,0,0,0,0,0
elevate,1,0,0,1,7,0
level,1,9,1,11,19,2
selfish,4,11,0,13,0,1
cramped,1,0,0,4,0,0
narrowed,1,0,0,0,0,0
delightful,4,3,2,21,3,0
verdant,2,0,0,1,0,0
ecstasy,6,1,0,2,1,0
flowers,5,27,2,43,0,1
hedges,1,0,1,2,0,0
bud,2,0,0,0,0,0
undisturbed,3,0,0,3,0,0
pressed,10,14,0,58,0,0
notwithstanding,6,2,0,31,4,0
throw,4,12,1,32,9,0
burden,4,4,0,8,3,1
rejoiced,3,10,0,5,1,0
resources,2,0,0,13,4,0
truly,5,9,1,36,69,0
imitation,2,1,1,1,48,0
invented,1,3,0,9,8,2
tales,2,2,1,8,21,0
times,11,57,8,113,91,4
repeated,3,6,10,97,14,0
poems,1,0,0,1,9,0
ingenuity,1,0,0,0,3,0
sunday,1,2,1,13,0,0
afternoon,2,19,11,10,0,0
peasants,6,5,0,16,2,3
dancing,1,0,4,6,0,0
bounded,3,1,1,13,0,0
unbridled,1,0,0,0,0,0
hilarity,2,0,0,3,0,0
waited,8,29,1,54,0,0
impatiently,1,1,1,16,2,0
tempted,4,1,0,8,2,0
welcome,7,11,2,22,2,1
callous,1,2,1,0,0,1
griefs,1,0,0,6,0,0
inflict,3,1,0,3,3,0
news,6,20,13,57,3,0
skims,1,0,0,0,0,0
horrible,15,25,5,32,1,0
tidings,2,1,0,7,0,0
murdered,20,2,0,21,2,0
simply,1,46,1,36,11,0
transaction,1,4,0,3,1,0
thursday,1,1,0,1,0,0
niece,3,0,0,1,0,0
plainpalais,3,0,0,0,0,0
prolonged,2,5,1,4,1,0
farther,3,1,8,26,1,0
dusk,1,3,3,0,0,0
rested,6,7,0,21,1,0
enquired,2,0,0,0,0,0
run,2,28,35,35,24,0
